Material,Application,TML_Pct,WVR_Pct,CVCM_Pct,RML_Pct,Year,SpaceX_Classification,Data_Ref,Manufacturer,Time_1,Temp_1,ATM_1,Time_2,Temp_2,ATM_2,Time_3,Temp_3,ATM_3,Time_4,Temp_4,ATM_4,Raw_Application
AF-E-332-11 ETHYLENE PROPYLENE DERIVATIVE,Bladder,0.60,,0.08,0.60,1972,Pass,GSFC04600,TRW,,,,,,,,,,,,,BLADDER
AF-E-411 ETHYLENE PROPYLENE WHITE VALVE SEAL,Seal,0.96,0,0.07,0.96,1994,Pass,GSFC22264,TRW,,,,,,,,,,,,,SEAL
AF3015/C125690-1 HARD FOAMED EPOXY,Foamed Adhesive,0.88,0,0.01,0.88,1978,Pass,GSFC08940,MMM,2H,177.0,AIR,,,,,,,,,,FOAMED ADH
AF3109-2U FILM ADHESIVE (ON G-10 SUBSTRATE,Film Adhesive,1.28,0,0.06,1.28,2016,Rationale Code A (up to 2 sq-in),GSFC35754,MMM,1H,121.0,AIR,,,,,,,,,,FILM ADHESIVE
AG-1/HARDENER 22 AS 16/1 BW SILVER FILLED EPOXY,Conductive Adhesive,0.37,0,0.00,0.37,1977,Pass,GSFC08723,TPI,3H,99.0,AIR,,,,,,,,,,COND ADHESIVE
"AGY Ð Y-110 Ð S-2 Glass Yarn, Part Number SCD450.",Miscellaneous,0.15,0,0.02,0.15,2020,Pass,GFC36720,,24H,125.0,1.3x10ø?,,,,,,,,,,MISCELLANEOUS
AIR TEX TIE CORD MIL T43435,Cable Tie,7.31,,2.60,7.31,1969,Rationale Code B (up to 0.25 sq-in),GSFC01053,EON,,,,,,,,,,,,,CABLE TIE
"AIR-LOCK, INC BAYER MAKROLON UC POLYCARBONATE SHEET",Miscellaneous,0.20,0,0.00,0.20,2017,Pass,GSFC36120,ALK,,,,,,,,,,,,,MISCELLANEOUS
AIRBORN CONNECTOR WGE92PR7GY BLACK GLASS FILL/NYLON,Connector,0.71,0,0.09,0.71,1980,Pass,GSFC11324,ABI,,,,,,,,,,,,,CONNECTOR
AIRWEAVE N-10 FABRIC,Thermal Insulation Cloth,0.40,0,0.04,0.40,2012,Pass,GSFC33421,AMG,,,,,,,,,,,,,THERMAL INSULATION CLOTH
AIRWEAVE S FABRIC,Thermal Insulation Cloth,0.30,0,0.02,0.30,2012,Pass,GSFC33418,AMG,,,,,,,,,,,,,THERMAL INSULATION CLOTH
AIRWOLF 3D PRINTER ROD (ABS) – AW3D-F06004,3D Printing,0.41,0,0.01,0.41,2017,Pass,GSFC35994,AWF,,,,,,,,,,,,,3D PRINTING
AKZO-NOBEL CASCO 2806 STRONG EPOXY RAPID,Epoxy,3.24,0,0.02,3.24,2012,Rationale Code B (up to 0.25 sq-in),GSFC33376,AKZ,16H,25.0,AIR,,,,,,,,,,EPOXY
AL HONEYCOMB PANEL WITH PROPRIETARY ADHESIVE,Adhesive,2.90,1,0.10,1.90,2008,Rationale Code A (up to 2 sq-in),GSFC30640,AYR,,,,,,,,,,,,,ADHESIVE
AL-428 TWO PART EPOXY RESIN,Adhesive,0.98,0,0.01,0.98,2012,Pass,GSFC33082,ALF,,,,,,,,,,,,,ADHESIVE
ALKYD COATING - WHITE,Coating,18.18,0,11.34,18.18,1974,Rationale Code B (up to 0.25 sq-in),GSFC06041,GRU,,,,,,,,,,,,,COATING
ALL SPEC 50/50 SERIES M,Packaging,0.23,0,0.04,0.23,2006,Pass,GSFC29728,ASW,,,,,,,,,,,,,PACKAGING
ALLACAST 1776 POTTING CPND FOR OPTICAL COMPONENTS,Potting,0.25,0,0.01,0.25,1977,Pass,GSFC08516,BAC,24H,25.0,AIR,,,,,,,,,,POTTING
ALLECTRA 330 GLUE-1,Adhesive,0.66,0,0.00,0.66,2010,Pass,GSFC31930,ALT,1H,80.0,AIR,3H,120.0,AIR,,,,,,,ADHESIVE
"ALLECTRA 330-GLUE1 A/B 1/1 BW, VACUUM DEGASSED",Adhesive,1.16,0,0.10,1.16,2010,Rationale Code A (up to 2 sq-in),GSFC32074,ALT,1H,80.0,AIR,3H,120.0,AIR,,,,,,,ADHESIVE
ALODINE 1132 MARKER,Touch Up Coating,0.51,0,0.00,0.51,2011,Pass,GSFC32968,HEN,,,,,,,,,,,,,TOUCH UP COATING
ALPHA GRID ANTISTATIC FILM NYLON/POLYETHYLENE/CARBON,Antistatic Film,1.22,0,0.04,1.22,1987,Rationale Code A (up to 2 sq-in),GSFC16556,BAS,,,,,,,,,,,,,ANTI STATIC FILM
ALPHA LUX 400 POLYPHENOL OXIDE,Insulation,0.08,,0.01,0.08,1972,Pass,GSFC03933,WPC,,,,,,,,,,,,,INSULATION
ALPHA WIRE 221-3-64 INSULATION,Insulation,1.30,,0.04,1.30,1968,Rationale Code A (up to 2 sq-in),GSFC00403,AWC,,,,,,,,,,,,,INSULATION
ALPHA WIRE 5853 BLACK TEFLON INSULATION,Wire Insul,0.01,0,0.00,0.01,1982,Pass,GSFC12601,AWC,,,,,,,,,,,,,WIRE INSUL
ALPHA WIRE 5853 WHITE TEFLON INSULATION,Wire Insul,0.01,0,0.00,0.01,1982,Pass,GSFC12604,AWC,,,,,,,,,,,,,WIRE INSUL
ALTAIR 0200 METALIZED POLYESTER FILM,Antistatic Film,0.22,0,0.00,0.22,1988,Pass,GSFC17187,SOU,,,,,,,,,,,,,ANTI STATIC FILM
ALTAIR 20 METALIZED POLYCARBONATE FILM,Antistatic Film,0.24,0,0.01,0.24,1985,Pass,GSFC14956,SOU,,,,,,,,,,,,,ANTI STATIC FILM
ALUMA BLACK COND BLACK COATING FOR ALUMINUM,Conductive Coating,5.86,0,0.04,5.86,1991,Rationale Code B (up to 0.25 sq-in),GSFC20079,BIR,,,,,,,,,,,,,COND COATING
"ALUMINA, GOLD, PD/AG",Circuit Board,0.02,0,0.00,0.02,2007,Pass,GSFC30148,EMT,,,,,,,,,,,,,CIRCUIT BOARD
ALUMINIZED E-GLASS PN 2116-50 LOT # 00010,Blanket,0.06,0,0.00,0.06,2007,Pass,GSFC30256,BGF,,,,,,,,,,,,,BLANKET
ALUMINIZED KAPTON THERMAL CANNISTER OSS-1,Thermal Blanket,0.54,0,0.00,0.54,1982,Pass,GSFC12514,GSC,,,,,,,,,,,,,THERMAL BLANKET
"ALUMINIZED MYLAR (0.5 MIL PET, AL COATED 1 SIDE)",Thermal Control Film,0.27,0,0.00,0.27,2011,Pass,GSFC32860,GTS,,,,,,,,,,,,,THERMAL CONTROL FILM
ALUMINIZED MYLAR (POLYESTER FILM WITH VDA ON 1 SIDE),Thermal Control Film,0.26,0,0.00,0.26,2011,Pass,GSFC32902,DUN,,,,,,,,,,,,,THERMAL CONTROL FILM
ALUMINIZED MYLAR - LANGLEY,Packaging,0.23,0,0.02,0.23,1983,Pass,GSFC13027,ZZZ,,,,,,,,,,,,,PACKAGING
ALUMINIZED MYLAR 100M42,Reflector,0.13,,0.01,0.13,1971,Pass,GSFC02755,STC,,,,,,,,,,,,,REFLECTOR
ALUMINIZED MYLAR/DACRON DUPONT ADH 46960,Conductive Film,0.46,,0.09,0.46,1970,Pass,GSFC02128,ZZZ,,,,,,,,,,,,,COND FILM
"ALUMINUM COATED KAPTON, 1 MIL THICK, P/N 146446",Film,0.95,0,0.00,0.95,2009,Pass,GSFC31198,GTS,,,,,,,,,,,,,FILM
"ALUMINUM COATED KAPTON, 5 MIL THICK, P/N 146452",Film,1.08,1,0.01,0.08,2009,Pass,GSFC31195,GTS,,,,,,,,,,,,,FILM
"ALUMINUM COATED POLYMIDE FILM WITH 966 ADHESIVE, P/N 8203007-2, MRR# 970577",Tape,0.88,0,0.00,0.88,2008,Pass,GSFC31111,GTS,,,,,,,,,,,,,TAPE
"ALUMINUM COATED POLYMIDE TAPE WITH PSA, 422782, ITT P/N 400-3809F",Tape,0.94,0,0.00,0.94,2009,Pass,GSFC31267,GTS,,,,,,,,,,,,,TAPE
ALUMINUM TAPE/F,Tape,0.56,0,0.10,0.56,1996,Pass,GSFC24087,ZZZ,,,,,,,,,,,,,TAPE
AMBERSTRAND BRAID IPA RINSE,Harness Jacket,0.52,0,0.00,0.52,2014,Pass,GSFC35253,GLA,,,,,,,,,,,,,HARNESS JACKET
AMBERSTRAND BRAID ULTRASONIC 50/50 IPA/HEXANE,Harness Jacket,0.52,0,0.00,0.52,2014,Pass,GSFC35244,GLA,,,,,,,,,,,,,HARNESS JACKET
AMERI-STAT ESD LAMINATE GRAY FRP,Laminate,2.07,0,0.24,2.07,1990,Rationale Code B (up to 0.25 sq-in),GSFC18982,BAH,,,,,,,,,,,,,LAMINATE
AMERI-STAT FILM METALIZED POLYESTER/POLYETHYLENE,Antistatic Film,0.23,0,0.04,0.23,1985,Pass,GSFC14884,ACV,,,,,,,,,,,,,ANTI STATIC FILM
AMERI-STAT FILM METALIZED POLYESTER/POLYETHYLENE BAG,Antistatic Film,0.19,0,0.03,0.19,1987,Pass,GSFC16841,ACV,,,,,,,,,,,,,ANTI STATIC FILM
"AMERICAN MICRO INDUSTRIES VULCANIZED FIBRE INSULATION PAPER (FISHPAPER, GREEN)",Cable Insulation and Shrink Tubing,7.94,7,0.00,0.94,2017,Pass,GSFC35967,ANM,,,,,,,,,,,,,CABLE INSULATION AND SHRINK TUBING
AMES 24E BLACK INFRARED OPAQUE COATING SAMPLE A,Paint,0.67,0,0.16,0.67,1987,Rationale Code B (up to 0.25 sq-in),GSFC16046,ARE,7D,25.0,AIR,24H,135.0,E-2,,,,,,,PAINT
AMES 24E BLACK INFRARED OPAQUE COATING SAMPLE B,Paint,0.85,0,0.28,0.85,1987,Rationale Code B (up to 0.25 sq-in),GSFC16049,ARE,7D,25.0,AIR,,,,,,,,,,PAINT
AMES 24E2 BLACK INFRARED OPAQUE COATING SAMPLE A,Paint,0.31,0,0.00,0.31,1990,Pass,GSFC18659,ARE,24H,135.0,E-3,,,,,,,,,,PAINT
AMES 24E2 BLACK INFRARED OPAQUE COATING SAMPLE B,Paint,0.31,0,0.00,0.31,1990,Pass,GSFC18661,ARE,24H,280.0,E-3,,,,,,,,,,PAINT
AMES 24E2 BLACK INFRARED OPAQUE COATING SAMPLE C,Paint,0.30,0,0.00,0.30,1990,Pass,GSFC18663,ARE,48H,280.0,E-3,,,,,,,,,,PAINT
AMES 24E2 BLACK INFRARED OPAQUE COATING SAMPLE D,Paint,1.11,0,0.29,1.11,1990,Rationale Code B (up to 0.25 sq-in),GSFC18665,ARE,,,,,,,,,,,,,PAINT
AMICON 930-12-4F SINGLE COMPONENT ADHESIVE YELLOW,Adhesive,1.71,0,0.06,1.71,1985,Rationale Code A (up to 2 sq-in),GSFC14465,EMC,10M,120.0,AIR,,,,,,,,,,ADHESIVE
AMICON E-6130 EPOXY YELLOW,Adhesive,1.32,0,0.31,1.32,1995,Rationale Code B (up to 0.25 sq-in),GSFC22591,WRG,15M,100.0,AIR,,,,,,,,,,ADHESIVE
AMICON SC-3613 CLEAR ONE PART SILICONE (FROZEN),Coating,0.83,0,0.44,0.83,1990,Rationale Code B (up to 0.25 sq-in),GSFC18979,EMC,2H,200.0,AIR,,,,,,,,,,COATING
AMICON UV-301 RED ACRYLIC UV CURE,Adhesive,5.86,0,0.01,5.86,2000,Rationale Code B (up to 0.25 sq-in),GSFC27286,EMC,,,,,,,,,,,,,ADHESIVE
AMICON XT-1203-4/B-97 AS 50/1 PBW MAROON EPOXY,Coating,5.25,0,0.02,5.25,1991,Rationale Code B (up to 0.25 sq-in),GSFC19845,EMC,2H,120.0,AIR,,,,,,,,,,COATING
AMJET 023BK BLACK MARKING INK/F,Ink,3.35,0,0.50,3.35,1987,Rationale Code B (up to 0.25 sq-in),GSFC16215,AMJ,10M,80.0,AIR,,,,,,,,,,INK
AMJET 023BK BLACK MARKING INK/F,Ink,1.20,0,0.03,1.20,1987,Rationale Code A (up to 2 sq-in),GSFC16436,AMJ,1H,200.0,AIR,,,,,,,,,,INK
AMLGUARD CORROSION PROTECTIVE COATING/F,Coating,14.01,0,2.12,14.01,1977,Rationale Code B (up to 0.25 sq-in),GSFC08180,NDC,24H,25.0,AIR,,,,,,,,,,COATING
AMODEL A-1000 BLUE BLEND,Mold Compound,0.63,0,0.01,0.63,1990,Pass,GSFC19369,AMO,,,,,,,,,,,,,MOLD CPND
AMODEL A-1000 VIRGIN MATERIAL NEUTRAL COLOR,Mold Compound,0.80,0,0.01,0.80,1990,Pass,GSFC19366,AMO,,,,,,,,,,,,,MOLD CPND
Amodel AS-4133 HS NT,Molding Compounds,1.26,0,0.00,1.26,2022,Rationale Code A (up to 2 sq-in),GFC37183,,24H,124.0,6.1x10ø?,,,,,,,,,,MOLDING COMPOUNDS
AMP 22-18(1-2) SOLDER LUG INSULATION - RED,Insulation,2.54,1,0.02,1.54,1978,Rationale Code A (up to 2 sq-in),GSFC08816,AMP,,,,,,,,,,,,,INSULATION
AMP 9000 POLYETHYLENE ANTI STATIC FILM,Antistatic Film,0.55,0,0.17,0.55,1989,Rationale Code B (up to 0.25 sq-in),GSFC18568,AMM,,,,,,,,,,,,,ANTI STATIC FILM
AMP BOOT 504019-2 BLACK THERMOPLASTIC,Boot,30.82,0,11.14,30.82,1994,Rationale Code B (up to 0.25 sq-in),GSFC21717,AMP,,,,,,,,,,,,,BOOT
AMP CONNECTOR 1-103183-3-8629 BLACK NYLON/GLASS,Mold Compound,1.82,0,0.14,1.82,1988,Rationale Code B (up to 0.25 sq-in),GSFC17544,AMP,,,,,,,,,,,,,MOLD CPND
AMP CONNECTOR 1-103183-3-8629 BLACK NYLON/GLASS,Mold Compound,1.64,0,0.10,1.64,1988,Rationale Code A (up to 2 sq-in),GSFC17546,AMP,24H,50.0,AIR,,,,,,,,,,MOLD CPND
AMP CONNECTOR 1-103183-3-8629 BLACK NYLON/GLASS,Mold Compound,1.45,0,0.10,1.45,1989,Rationale Code A (up to 2 sq-in),GSFC17760,AMP,24H,105.0,AIR,,,,,,,,,,MOLD CPND
AMP CONNECTOR 205-207-1 NYLON/GLASS FIBER,Connector,1.62,,0.03,1.62,1973,Rationale Code A (up to 2 sq-in),GSFC05316,AMP,,,,,,,,,,,,,CONNECTOR
AMP CONNECTOR 205-289-1 PHENOLIC/GLASS FIBER,Connector,1.30,,0.00,1.30,1973,Rationale Code A (up to 2 sq-in),GSFC05319,AMP,,,,,,,,,,,,,CONNECTOR
AMP CONNECTOR 583707-9 8735 M55302/27-33 BLUE,Mold Compound,0.49,0,0.01,0.49,1989,Pass,GSFC17834,AMP,,,,,,,,,,,,,MOLD CPND
